before,SEQ,after,,
3.1 Phillip Lim,3800,3.1 Phillip Lim,,
adidas ,13500,adidas,,
ADIDAS BY ALEXANDER WANG,23300,adidas,,
ADIDAS BY RAF SIMONS,8100,adidas,,
ADIDAS BY STELLA MCCARTNEY,19600,adidas by Stella McCartney,,
ADIDAS ORIGINALS,7800,adidas,,
ADIDAS RAF SIMONS,22800,RAF SIMONS,,
ALEXANDER MCQUEEN,4300,alexander mcqueen,,
Alexander Wang,9100,Alexander Wang,,
ALPHA INDUSTRIES,20500,ALPHA INDUSTRIES,,
AMI,21900,AMI ALEXANDRE MATTIUSSI,,
AMI ALEXANDRE MATTIUSSI ,10500,AMI ALEXANDRE MATTIUSSI,,
Amiri,5900,AMIRI,,
Ann Demeulemeester ,13100,Ann Demeulemeester,,
ANYA HINDMARCH,4900,Anya Hindmarch,,
AQUAZZURA,20600,Aquazzura,,
Aquazzura + Olivia Palermo ,12700,Aquazzura + Olivia Palermo,,
ARCTERYX,20300,ARC'TERYX,,
ASICS,8500,asics,,
ATLANTIC STARS,8000,Atlantic STARS,,
BALENCIAGA,24200,BALENCIAGA,,
Bally,5400,BALLY,,
BALMAIN,200,BALMAIN,,
BELSTAFF,20700,BELSTAFF,,
BLUGIRL,17900,Blugirl,,
BOTTEGA VENETA,1700,BOTTEGA VENETA,,
Boutique Moschino,14200,Moschino,,
BRUNELLO CUCINELLI,22700,BRUNELLO CUCINELLI,,
Burberry ,9300,Burberry,,
Burberry Brit ,11900,Burberry Brit,,
Burberry London ,11500,Burberry London,,
BUSCEMI,4100,BUSCEMI,,
Buttero ,13600,Buttero ,,
CALVIN KLEIN JEANS,23900,Calvin Klein,,
Carven,3200,CARVEN,,
CASTAÑER,20800,Castaner,,
CELINE,6500,CELINE,,
CHAMPION,20900,CHAMPION,,
Charlotte Olympia ,12800,Charlotte Olympia,,
Chiara Ferragni ,10000,Chiara Ferragni,,
CHLOE,3300,Chloe,,
CHLOÉ,22900,Chloe,,
CHRISTIAN LOUBOUTIN,6000,Christian Louboutin,,
Churchs,10600,Church's,,
Coach,8700,Coach,,
COACH 1941,23400,Coach,,
COACH NY,19800,Coach,,
COMME des GARCONS ,9600,COMME des GARCONS,,
COMME DES GARCONS SHIRT,100,COMME des GARCONS,,
COMME DES GARCONS WALLET,22200,COMME des GARCONS,,
COMMON PROJECTS,300,Common Projects ,,
Current Elliott,15500,Current Elliott,,
Diane Von Furstenberg,2800,DIANE von FURSTENBERG,,
DIESEL,4400,DIESEL,,
DIESEL BLACK GOLD,500,DIESEL,,
Dolce & Gabbana,2700,Dolce & Gabbana,,
DOLCE&GABBANA,23100,Dolce & Gabbana,,
DRIES VAN NOTEN,6400,Dries Van Noten,,
DSQUARED2,600,D SQUARED2,,
Duvetica,5800,DUVETICA,,
EA7 EMPORIO ARMANI,19500,EMPORIO ARMANI,,
EASTPAK,21000,EASTPAK,,
ELLERY,21500,ELLERY,,
Emilio Pucci,8900,Emilio Pucci,,
EMPORIO ARMANI ,10300,EMPORIO ARMANI,,
