brand,price_pro_formula,price_ref_formula,duty,price_target_formula,discount,set_val,postage,exchange_rate
SAINT LAURENT,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
SAINT LAURENT M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
KENZO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
KENZO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
DSQUARED2,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
DSQUARED2 M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
DOLCE & GABBANA,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
DOLCE & GABBANA M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
VALENTINO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.4,0.09,0,1
VALENTINO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.4,0.09,0,1
